candidates preference to courses:
candidate      course8      course2      course6      course7     course14      course3      course0      course5      course9     course17     course18      course4      course1     course16     course11     course13     course19     course12     course10     course15
  candidate0          0.7          0.2  Unqualified          0.3          0.6          0.6  Unqualified          0.6          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.6          0.5          0.5          0.8  Unqualified  Unqualified
  candidate1          0.6          0.4  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.5          0.6          0.6          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.1
  candidate2          0.3          0.9          0.1  Unqualified          0.5          0.3          0.7  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.7  Unqualified          0.4          0.4          0.5
  candidate3          0.8  Unqualified          0.1          0.5  Unqualified          0.5            0  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.3          0.9          0.6  Unqualified          0.3
  candidate4  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2            1          0.6          0.4  Unqualified          0.6  Unqualified  Unqualified          0.7
  candidate5  Unqualified  Unqualified          0.6          0.6  Unqualified            1          0.7          0.8  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.5          0.2
  candidate6          0.7          0.8          0.5          0.7          0.1          0.9          0.2  Unqualified          0.8          0.8          0.6          0.1          0.5  Unqualified  Unqualified  Unqualified          0.5          0.7          0.7          0.4
  candidate7  Unqualified          0.5          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.9          0.2
  candidate8  Unqualified  Unqualified  Unqualified          0.5            0  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.8          0.9  Unqualified          0.6          0.6  Unqualified  Unqualified          0.8          0.1
  candidate9          0.6          0.6          0.3  Unqualified            1          0.1          0.8  Unqualified  Unqualified          0.7          0.7  Unqualified          0.3          0.2          0.2          0.8  Unqualified          0.6          0.7  Unqualified
 candidate10  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified          0.7  Unqualified          0.9          0.1          0.1  Unqualified          0.1  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.4
 candidate11          0.2          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.7          0.9  Unqualified  Unqualified  Unqualified          0.9            1          0.8          0.1  Unqualified
 candidate12          0.5  Unqualified  Unqualified          0.8  Unqualified          0.7          0.1            0  Unqualified          0.2          0.8          0.6          0.9          0.1          0.6  Unqualified  Unqualified          0.2          0.4            1
 candidate13  Unqualified          0.1  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.5  Unqualified          0.1  Unqualified  Unqualified  Unqualified
 candidate14          0.6  Unqualified  Unqualified  Unqualified          0.6            1  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.8  Unqualified          0.7  Unqualified          0.3
 candidate15          0.7  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            0          0.6          0.4  Unqualified  Unqualified          0.1  Unqualified          0.3  Unqualified  Unqualified  Unqualified
 candidate16            0  Unqualified          0.5          0.9          0.5  Unqualified          0.3  Unqualified          0.1          0.1  Unqualified          0.4          0.7  Unqualified          0.9          0.5  Unqualified  Unqualified  Unqualified  Unqualified
 candidate17          0.7  Unqualified            0  Unqualified          0.5  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.2          0.7          0.6
 candidate18          0.2  Unqualified          0.9          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.1          0.1  Unqualified          0.9  Unqualified          0.4  Unqualified          0.2          0.8          0.7          0.7
 candidate19          0.1  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.7          0.3  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
