candidates preference to courses:
candidate      course2      course7      course3     course19     course16     course22     course18     course15      course8      course6      course1     course24     course14      course9      course5     course20     course13      course0     course21     course17      course4     course11     course23     course12     course10
  candidate0          0.8          0.3  Unqualified          0.4          0.3  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.6  Unqualified          0.4          0.2          0.8  Unqualified          0.7  Unqualified          0.6          0.8  Unqualified  Unqualified          0.1  Unqualified          0.5
  candidate1  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.4  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.2            0  Unqualified  Unqualified  Unqualified          0.3            0          0.2  Unqualified          0.2  Unqualified  Unqualified
  candidate2          0.4            1          0.9            1          0.4          0.9          0.5          0.7          0.4          0.5  Unqualified  Unqualified            1  Unqualified          0.9          0.1          0.1  Unqualified  Unqualified          0.9  Unqualified          0.8  Unqualified  Unqualified          0.6
  candidate3          0.5          0.8          0.1  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.3          0.9          0.6          0.5          0.2          0.7          0.8  Unqualified
  candidate4  Unqualified          0.5          0.1          0.8  Unqualified            1  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.2  Unqualified          0.7            1          0.4  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified
  candidate5          0.4          0.8          0.6          0.3          0.2  Unqualified  Unqualified          0.6          0.2          0.4          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.9  Unqualified  Unqualified          0.5          0.8  Unqualified
  candidate6  Unqualified          0.6          0.8          0.1          0.9          0.5  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.7  Unqualified  Unqualified          0.7          0.2  Unqualified  Unqualified          0.5          0.2          0.1  Unqualified  Unqualified          0.3  Unqualified
  candidate7          0.1            1  Unqualified  Unqualified          0.1          0.8          0.8          0.7  Unqualified  Unqualified  Unqualified          0.7  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.1  Unqualified  Unqualified
  candidate8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.2  Unqualified          0.2            0  Unqualified          0.1  Unqualified          0.4  Unqualified            1          0.4          0.2  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.4  Unqualified
  candidate9  Unqualified  Unqualified          0.1          0.7  Unqualified          0.1          0.7          0.2  Unqualified  Unqualified          0.5          0.5          0.3          0.8          0.3  Unqualified  Unqualified            1  Unqualified          0.2  Unqualified  Unqualified  Unqualified            0          0.5
 candidate10            0          0.5  Unqualified  Unqualified            0          0.8          0.7  Unqualified  Unqualified            0  Unqualified  Unqualified            0  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.1          0.9          0.3  Unqualified          0.3
 candidate11  Unqualified          0.3  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.9          0.5  Unqualified  Unqualified          0.1          0.5          0.2          0.7  Unqualified          0.7          0.9          0.7            0  Unqualified  Unqualified          0.2          0.1          0.6
 candidate12          0.2  Unqualified          0.6  Unqualified          0.8          0.1  Unqualified  Unqualified          0.7          0.6  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.7          0.2          0.2  Unqualified          0.2          0.3          0.5          0.7          0.6          0.4
 candidate13          0.2          0.2          0.8  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.4          0.9  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate14          0.5  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.7          0.6          0.4          0.9  Unqualified          0.8          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.8            1
 candidate15          0.9  Unqualified  Unqualified  Unqualified          0.9          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.8  Unqualified            0          0.3  Unqualified          0.1          0.7          0.3          0.1
 candidate16  Unqualified  Unqualified  Unqualified          0.5          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1            0  Unqualified          0.8          0.1          0.7          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.5
 candidate17          0.9  Unqualified            0          0.1          0.1          0.9          0.6            0          0.1          0.6          0.1  Unqualified          0.5  Unqualified  Unqualified          0.4          0.5  Unqualified          0.8          0.4          0.2          0.6          0.6  Unqualified  Unqualified
 candidate18  Unqualified          0.2  Unqualified            0  Unqualified  Unqualified  Unqualified          0.2          0.2          0.3  Unqualified          0.6          0.7            1          0.8  Unqualified          0.1          0.7  Unqualified  Unqualified          0.9          0.6            0  Unqualified          0.4
 candidate19          0.4          0.2  Unqualified          0.3  Unqualified  Unqualified          0.4  Unqualified          0.5          0.5  Unqualified          0.1            0          0.6          0.9  Unqualified  Unqualified          0.9  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate20  Unqualified          0.2  Unqualified          0.7          0.9          0.9          0.9  Unqualified          0.6          0.4          0.2  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.7  Unqualified          0.9  Unqualified          0.9
 candidate21          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.6  Unqualified  Unqualified          0.6          0.3          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.1          0.3          0.7          0.2  Unqualified  Unqualified
 candidate22          0.7          0.7          0.1            1          0.4          0.7          0.9          0.9  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.2          0.6          0.5          0.7  Unqualified  Unqualified          0.6          0.8
 candidate23            0          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.6          0.5          0.6  Unqualified          0.2          0.6  Unqualified  Unqualified          0.8  Unqualified  Unqualified            0  Unqualified          0.8
 candidate24  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.8          0.2          0.3          0.4  Unqualified  Unqualified  Unqualified          0.4          0.2  Unqualified          0.1  Unqualified          0.4  Unqualified  Unqualified          0.5          0.8  Unqualified  Unqualified          0.8
 candidate25  Unqualified  Unqualified          0.6          0.5          0.6  Unqualified          0.1  Unqualified  Unqualified          0.9          0.3  Unqualified          0.3          0.6            0  Unqualified          0.5  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.3  Unqualified
 candidate26  Unqualified  Unqualified          0.9          0.6          0.2          0.4          0.2          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified            1          0.3          0.1  Unqualified          0.4  Unqualified
 candidate27  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.1          0.9          0.1          0.9          0.7          0.4  Unqualified          0.4  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.3          0.3  Unqualified  Unqualified  Unqualified
