candidates preference to courses:
candidate      course2     course29      course7      course3     course19     course16     course22     course18     course15      course8      course6      course1     course28     course27     course24     course14      course9      course5     course20     course13     course26     course25      course0     course21     course17      course4     course11     course23     course12     course10
  candidate0  Unqualified          0.8  Unqualified  Unqualified          0.5          0.8  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4            0          0.9          0.3  Unqualified          0.2          0.9  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.7          0.3
  candidate1  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.5  Unqualified  Unqualified          0.1            1          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1  Unqualified          0.9  Unqualified          0.8  Unqualified            0  Unqualified  Unqualified  Unqualified
  candidate2          0.6          0.7          0.6          0.2          0.3          0.1  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.6            1  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.9          0.2          0.5  Unqualified  Unqualified          0.1  Unqualified          0.5          0.1  Unqualified
  candidate3          0.6          0.7          0.8  Unqualified  Unqualified          0.8          0.5  Unqualified  Unqualified  Unqualified          0.4          0.6  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.5  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.7          0.3          0.7  Unqualified  Unqualified
  candidate4  Unqualified          0.1          0.7          0.9  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.2            1  Unqualified          0.6  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.6          0.8          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
  candidate5  Unqualified  Unqualified            0  Unqualified          0.5  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.7  Unqualified          0.7          0.8          0.3  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified            0          0.4  Unqualified          0.7          0.2          0.7          0.2
  candidate6  Unqualified  Unqualified          0.7  Unqualified          0.7  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.8          0.9  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.5  Unqualified          0.8          0.8  Unqualified          0.2          0.7
  candidate7  Unqualified  Unqualified          0.8          0.3          0.1          0.5          0.8  Unqualified          0.3  Unqualified  Unqualified          0.5          0.4  Unqualified  Unqualified  Unqualified  Unqualified            1  Unqualified          0.1          0.5          0.6          0.5  Unqualified          0.1  Unqualified  Unqualified          0.4  Unqualified          0.5
  candidate8  Unqualified          0.8          0.6          0.8          0.3          0.7          0.5  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.4          0.4  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.1          0.3          0.9  Unqualified  Unqualified
  candidate9            0          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.2          0.4          0.9  Unqualified  Unqualified          0.5          0.5  Unqualified  Unqualified          0.2  Unqualified          0.7  Unqualified          0.8          0.2          0.7          0.3  Unqualified  Unqualified          0.6            0
 candidate10          0.6          0.9          0.9          0.4  Unqualified          0.8          0.7          0.2            0  Unqualified  Unqualified  Unqualified          0.6          0.6  Unqualified  Unqualified  Unqualified          0.9          0.9  Unqualified  Unqualified          0.8  Unqualified          0.7          0.9          0.9  Unqualified          0.8          0.5          0.4
 candidate11          0.2          0.1  Unqualified  Unqualified  Unqualified            1  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.9  Unqualified  Unqualified  Unqualified          0.5            0          0.2  Unqualified            1  Unqualified            1
 candidate12          0.1  Unqualified  Unqualified          0.1          0.8          0.6          0.4  Unqualified          0.7          0.7          0.3          0.2  Unqualified  Unqualified          0.5          0.7          0.7            0  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.8  Unqualified  Unqualified          0.9          0.5
 candidate13  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.1          0.9  Unqualified  Unqualified          0.3  Unqualified          0.5  Unqualified          0.5          0.6  Unqualified          0.9          0.2  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.5  Unqualified
 candidate14          0.4  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.2  Unqualified          0.4  Unqualified          0.8          0.3          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.6            0  Unqualified  Unqualified          0.7          0.4          0.7  Unqualified          0.4          0.6          0.1  Unqualified          0.4
 candidate15  Unqualified          0.2  Unqualified          0.8          0.3          0.4          0.7  Unqualified            1  Unqualified  Unqualified  Unqualified          0.3          0.2          0.1          0.5  Unqualified  Unqualified  Unqualified          0.9          0.1          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.7          0.9          0.4
 candidate16          0.6  Unqualified  Unqualified          0.9  Unqualified          0.8  Unqualified  Unqualified          0.7  Unqualified            1          0.6  Unqualified  Unqualified  Unqualified          0.3          0.4          0.5            1  Unqualified  Unqualified  Unqualified          0.7          0.4          0.9          0.1          0.5          0.5  Unqualified  Unqualified
 candidate17  Unqualified  Unqualified  Unqualified          0.7          0.1  Unqualified  Unqualified          0.8          0.1          0.4          0.8  Unqualified          0.6          0.4  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.5  Unqualified  Unqualified  Unqualified          0.2          0.2
 candidate18          0.3  Unqualified  Unqualified          0.6  Unqualified  Unqualified            1          0.1          0.1          0.4          0.6  Unqualified            1          0.2          0.8          0.5  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.2  Unqualified          0.1          0.7          0.6            0          0.4
 candidate19  Unqualified          0.8  Unqualified          0.8  Unqualified          0.5  Unqualified  Unqualified          0.7  Unqualified          0.9  Unqualified          0.6  Unqualified          0.2          0.9          0.2  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.6          0.3          0.5  Unqualified          0.3  Unqualified  Unqualified            1
 candidate20          0.3          0.8          0.2  Unqualified          0.7          0.8          0.9          0.3          0.9  Unqualified          0.8            0            1          0.1  Unqualified          0.2          0.6  Unqualified          0.9  Unqualified  Unqualified          0.3          0.9          0.7          0.9  Unqualified          0.5  Unqualified  Unqualified  Unqualified
 candidate21  Unqualified  Unqualified  Unqualified          0.3          0.3  Unqualified          0.9  Unqualified          0.2            0          0.6          0.2          0.3          0.1          0.3  Unqualified          0.5          0.3          0.3  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.3          0.6  Unqualified          0.2  Unqualified          0.7
 candidate22          0.4  Unqualified          0.2          0.5  Unqualified          0.9          0.8          0.3  Unqualified  Unqualified          0.7          0.8          0.8          0.8  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.8  Unqualified          0.4          0.8  Unqualified          0.2          0.6  Unqualified
 candidate23  Unqualified  Unqualified          0.7  Unqualified          0.6  Unqualified  Unqualified          0.1          0.3  Unqualified  Unqualified  Unqualified          0.8          0.8          0.3          0.9  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.4  Unqualified  Unqualified            1  Unqualified          0.2  Unqualified          0.8  Unqualified
 candidate24  Unqualified  Unqualified            1  Unqualified            1          0.2  Unqualified          0.3  Unqualified  Unqualified            1  Unqualified            1  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified
 candidate25  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified          0.3  Unqualified  Unqualified          0.9            1  Unqualified  Unqualified          0.8  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.2  Unqualified          0.5  Unqualified  Unqualified            0          0.6
 candidate26  Unqualified  Unqualified          0.5          0.8          0.3  Unqualified          0.1          0.7          0.9          0.7  Unqualified          0.6  Unqualified          0.7  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.6          0.8  Unqualified  Unqualified          0.5  Unqualified  Unqualified
 candidate27  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.8          0.2          0.8  Unqualified  Unqualified          0.4          0.4          0.6          0.3  Unqualified          0.3          0.8  Unqualified          0.6          0.4  Unqualified          0.1  Unqualified          0.9  Unqualified          0.4  Unqualified  Unqualified            1
 candidate28  Unqualified          0.6          0.9  Unqualified          0.4          0.9          0.9  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.5          0.8          0.8          0.9          0.7  Unqualified  Unqualified  Unqualified          0.7          0.8  Unqualified  Unqualified          0.8          0.5          0.4          0.6          0.3  Unqualified
 candidate29  Unqualified          0.5          0.9  Unqualified  Unqualified          0.6          0.3  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.4          0.7  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.5          0.2          0.4  Unqualified
 candidate30  Unqualified          0.2          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.7  Unqualified          0.9  Unqualified  Unqualified          0.5            0          0.6          0.8  Unqualified          0.9          0.3  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.6          0.2          0.2
 candidate31          0.9  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.7          0.4  Unqualified  Unqualified          0.8  Unqualified          0.4          0.9            0  Unqualified          0.6          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.1  Unqualified          0.5  Unqualified
 candidate32          0.4          0.9          0.4  Unqualified          0.1          0.7          0.8  Unqualified          0.5          0.5  Unqualified            0  Unqualified  Unqualified          0.8            1          0.5  Unqualified          0.7  Unqualified  Unqualified          0.2  Unqualified          0.9  Unqualified          0.9  Unqualified          0.1  Unqualified          0.9
 candidate33  Unqualified          0.5          0.5  Unqualified  Unqualified  Unqualified          0.4          0.1  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate34          0.8  Unqualified          0.5          0.9          0.8  Unqualified          0.6  Unqualified          0.2            1          0.5  Unqualified  Unqualified          0.7          0.8  Unqualified          0.3  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.2          0.2            1  Unqualified  Unqualified          0.1          0.4  Unqualified
 candidate35          0.2  Unqualified          0.7          0.1  Unqualified  Unqualified          0.2  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.3          0.2  Unqualified          0.2  Unqualified          0.8          0.7  Unqualified            0  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified            1          0.3
 candidate36          0.2            0          0.2  Unqualified  Unqualified          0.2            1  Unqualified          0.6  Unqualified          0.5          0.3          0.4          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.2          0.4          0.4          0.9          0.5          0.2          0.8  Unqualified  Unqualified
 candidate37          0.4          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1          0.1            0            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified            0  Unqualified  Unqualified          0.9          0.4  Unqualified          0.5          0.2          0.6  Unqualified  Unqualified
 candidate38  Unqualified  Unqualified  Unqualified          0.1          0.6  Unqualified  Unqualified  Unqualified            0  Unqualified          0.6          0.7          0.2  Unqualified          0.9          0.1          0.3  Unqualified  Unqualified            1          0.1          0.2          0.6  Unqualified          0.7  Unqualified          0.4  Unqualified  Unqualified          0.3
