candidates preference to courses:
candidate     course10      course3      course7      course5      course1     course14      course8     course11     course12      course0      course2      course9      course4     course13      course6
  candidate0          0.8          0.2            1          0.7            1          0.3  Unqualified          0.7          0.6            1          0.1          0.4  Unqualified          0.6          0.1
  candidate1          0.3          0.8          0.8            1          0.5          0.8          0.1            1          0.7            1  Unqualified            1          0.4            0          0.6
  candidate2  Unqualified          0.9          0.8          0.1            0          0.1          0.7            1          0.4          0.4            0          0.7          0.9  Unqualified          0.4
  candidate3          0.8          0.2          0.9  Unqualified          0.3          0.7          0.4  Unqualified          0.6          0.5  Unqualified  Unqualified          0.5  Unqualified  Unqualified
  candidate4          0.6          0.6          0.3          0.4            1  Unqualified          0.4          0.8          0.4  Unqualified          0.5  Unqualified          0.4          0.8          0.3
  candidate5            1          0.5            1          0.6          0.3          0.3          0.8  Unqualified  Unqualified  Unqualified          0.2          0.1          0.1          0.5          0.3
  candidate6          0.3          0.3            1  Unqualified          0.4  Unqualified          0.3          0.2            0          0.8          0.9          0.7  Unqualified          0.7          0.6
  candidate7          0.3          0.4          0.5          0.2  Unqualified  Unqualified          0.7          0.9  Unqualified          0.9          0.1          0.3          0.5          0.4          0.7
  candidate8          0.8  Unqualified          0.8          0.6          0.8          0.6            0          0.3          0.7          0.3  Unqualified          0.6          0.3          0.1            1
  candidate9          0.3  Unqualified  Unqualified  Unqualified          0.3          0.2            1          0.6          0.1          0.9          0.8          0.2          0.3          0.2          0.2
 candidate10          0.4          0.1          0.6  Unqualified          0.7          0.7            1          0.3          0.4          0.6          0.8          0.3  Unqualified  Unqualified  Unqualified
 candidate11          0.6          0.8          0.1  Unqualified          0.1          0.1          0.9          0.8  Unqualified          0.1          0.6          0.9          0.9  Unqualified            1
 candidate12          0.5          0.4          0.1            1  Unqualified  Unqualified          0.2          0.7          0.1          0.6  Unqualified          0.9          0.9          0.8          0.3
 candidate13          0.9  Unqualified  Unqualified          0.9          0.5          0.4          0.4  Unqualified  Unqualified            0          0.9          0.5          0.4  Unqualified          0.6
 candidate14          0.1          0.7          0.7  Unqualified          0.6          0.1  Unqualified  Unqualified          0.3          0.1          0.8          0.8          0.9          0.6          0.9
 candidate15          0.2          0.1          0.9          0.5          0.7          0.2          0.9          0.1          0.1  Unqualified          0.3          0.6  Unqualified  Unqualified  Unqualified
 candidate16          0.5          0.5            0  Unqualified  Unqualified          0.2          0.8  Unqualified  Unqualified          0.5          0.6          0.2          0.8          0.6          0.4
 candidate17            0          0.5          0.7          0.7          0.4  Unqualified          0.9          0.6          0.9          0.7          0.9          0.6          0.1  Unqualified          0.4
 candidate18          0.6  Unqualified  Unqualified          0.1  Unqualified          0.5          0.7          0.4  Unqualified          0.6          0.9          0.8          0.6          0.5  Unqualified
 candidate19          0.7          0.3            0  Unqualified          0.1          0.9          0.7          0.4          0.3          0.1  Unqualified          0.8          0.4          0.9          0.6
 candidate20          0.7          0.4  Unqualified          0.6          0.6          0.4          0.6          0.7          0.3          0.6          0.5          0.5  Unqualified          0.4          0.7
 candidate21          0.7          0.9          0.5          0.3            1          0.6          0.9          0.4          0.1          0.9  Unqualified  Unqualified  Unqualified          0.2          0.7
 candidate22          0.6            1            0          0.9          0.9  Unqualified          0.9  Unqualified  Unqualified  Unqualified            1  Unqualified          0.1          0.8          0.2
 candidate23          0.3  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.3            1  Unqualified  Unqualified          0.7          0.6          0.2          0.6          0.3
 candidate24          0.8            1  Unqualified          0.8          0.3          0.7          0.6          0.6          0.8          0.1          0.5          0.9            0  Unqualified            1
