candidates preference to courses:
candidate      course2      course4      course1      course0      course3
 candidate0          0.1          0.6          0.6  Unqualified            1
 candidate1          0.9  Unqualified          0.3          0.6          0.5
 candidate2  Unqualified          0.3          0.8          0.9  Unqualified
 candidate3          0.6  Unqualified          0.4          0.7  Unqualified
 candidate4  Unqualified  Unqualified          0.2          0.4          0.8
 candidate5          0.6          0.4          0.5          0.1  Unqualified
 candidate6  Unqualified          0.8          0.3          0.7  Unqualified
 candidate7  Unqualified          0.9            0          0.2          0.9
 candidate8          0.5  Unqualified          0.7  Unqualified          0.3
 candidate9          0.2  Unqualified          0.3          0.6          0.6
candidate10  Unqualified          0.5  Unqualified          0.1          0.8
candidate11          0.1          0.4  Unqualified          0.5          0.3
candidate12          0.7          0.1          0.5          0.5          0.9
candidate13  Unqualified          0.2  Unqualified  Unqualified  Unqualified
candidate14          0.4            0          0.8          0.6          0.6
candidate15          0.4  Unqualified          0.2          0.7          0.3
candidate16          0.1          0.9  Unqualified          0.6            1
candidate17          0.8          0.5          0.1          0.8          0.6
candidate18  Unqualified          0.8          0.7          0.8          0.2
candidate19          0.3          0.2          0.8          0.8            0
candidate20          0.3          0.2  Unqualified          0.6          0.5
candidate21            1            1            1          0.7          0.8
candidate22          0.4          0.7          0.4  Unqualified          0.7
candidate23            1          0.8          0.4          0.1          0.2
candidate24  Unqualified          0.7  Unqualified          0.8          0.2
candidate25          0.8          0.7  Unqualified          0.2  Unqualified
candidate26          0.6          0.8          0.6          0.2            1
candidate27          0.3            0          0.5  Unqualified          0.4
candidate28          0.5          0.6            1          0.7          0.1
candidate29            0          0.4          0.9          0.9          0.1
candidate30          0.2  Unqualified  Unqualified          0.6          0.7
candidate31            1          0.1          0.6          0.5          0.8
candidate32          0.6          0.7          0.8  Unqualified          0.3
candidate33  Unqualified            0          0.2          0.6          0.7
candidate34          0.4          0.8          0.9          0.2          0.2
candidate35          0.4          0.6          0.5          0.8          0.1
candidate36          0.8          0.4            1          0.1          0.2
candidate37  Unqualified          0.7          0.7          0.6  Unqualified
candidate38  Unqualified          0.4          0.1          0.4  Unqualified
candidate39  Unqualified          0.7          0.3          0.7  Unqualified
candidate40  Unqualified          0.8          0.8          0.3          0.8
candidate41          0.2          0.5          0.1            0            0
candidate42  Unqualified          0.4          0.6            1          0.9
candidate43          0.9  Unqualified  Unqualified          0.7          0.8
candidate44            1          0.5          0.1          0.1          0.7
candidate45  Unqualified  Unqualified          0.8          0.9          0.3
candidate46          0.3  Unqualified          0.5          0.9          0.9
candidate47  Unqualified          0.4          0.7          0.5  Unqualified
candidate48          0.9          0.2          0.6  Unqualified  Unqualified
candidate49          0.9  Unqualified          0.9          0.4          0.2
candidate50  Unqualified  Unqualified          0.4  Unqualified          0.3
candidate51          0.8          0.7          0.1          0.8          0.6
candidate52          0.5          0.4          0.3  Unqualified          0.1
candidate53  Unqualified          0.9          0.1          0.8          0.4
candidate54  Unqualified  Unqualified          0.6  Unqualified          0.3
candidate55            0          0.3          0.5  Unqualified          0.4
candidate56          0.3  Unqualified          0.7          0.3          0.4
candidate57  Unqualified          0.5          0.9          0.1          0.1
candidate58          0.2          0.6  Unqualified          0.2          0.1
candidate59          0.1          0.4          0.5          0.1          0.7
candidate60          0.5          0.6          0.1          0.4          0.3
candidate61          0.9          0.7  Unqualified  Unqualified            0
candidate62          0.5          0.1          0.7  Unqualified          0.2
candidate63          0.2  Unqualified  Unqualified  Unqualified          0.7
candidate64          0.2          0.9          0.6          0.3          0.7
candidate65  Unqualified          0.8  Unqualified  Unqualified            0
candidate66          0.2          0.8          0.3          0.3          0.6
candidate67  Unqualified          0.1  Unqualified  Unqualified          0.3
candidate68          0.5          0.9          0.3          0.2  Unqualified
candidate69            0          0.1  Unqualified            1          0.7
